Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37
Salomons et al. (2009),"Salomons, H.M.","Mulder, G.A.","Van De Zande, L.","Haussmann, M.F.","Linskens, M.H.K.","Verhulst, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sánchez-Montes et al. (2020),"SánchezMontes, G.","MartínezSolano, Í.","DíazPaniagua, C.","Vilches, A","Ariño, A.H.","GomezMestre, I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott et al. (2006),"Scott, N.M.","Haussmann, M.F.","Elsey, R.M.","Trosclair, P.L.","Vleck, C.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seibt et al. (2019),"Seibt, K.D.","Häussler, S.","Vecchio, D.","DeCarlo, E.","Ceciliani, F.","Sauerwein, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simide et al. (2016),"Simide, R.","Angelier, F.","Gaillard, S.","Stier, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soler et al. (2015),"Soler, J.J.","Ruiz Castellano, C.","Martínez-de la Puente, J.","Tomás, G.","Ruiz-Rodríguez, M.","Figuerola, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stier et al. (2020),"Stier, A.","Hsu, B.Y.","Marciau, C.","Doligez, B.","Gustafsson, L.","Bize, P.","Ruuskanen, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudyka et al. (2014),"Sudyka, J.","Arct, A.","Drobniak, S.","Dubiec, A.","Gustafsson, L.","Cicho?, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tissier et al. (2022),"Tissier, M.L.","Bergeron, P.","Garant, D.","Zahn, S.","Criscuolo, F.","Réale, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricola et al. (2018),"Tricola, G.M.","Simons, M.J.P.","Atema, E.","Boughton, R.K.","Brown, J. L.","Dearborn, D.C.","Divoky, G.","Eimes, J.A.","Huntington, C.E.","Kitaysky, A.S.","Juola, F.A.","Lank, D.B.","Litwa, H.P.","Mulder, E.G.A.","Nisbet, I.C.T.","Okanoya, K.","Safran, R.J.","Schoech, S.J.","Schreiber, E.A.","Thompson, P.M.","Verhulst, S.","Wheelwright, N.T.","Winkler, D.W.","Young, R.","Vleck, C.M.","Haussmann, M.F.",,,,,,,,,,,
Ujvari & Madsen (2009),"Ujvari, B.","Madsen, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ujvari et al. (2017),"Ujvari, B.","Biro, P.A.","Charters, J.E.","Brown, G.","Heasman, K.","Beckmann, C.","Madsen, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernasco et al. (2021),"Vernasco, B.J.","Dakin, R.","Majer, A.D.","Haussmann, M.F.","Brandt Ryder, T.","Moore, I.T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viblanc et al. (2022),"Viblanc, V.A.","Criscuolo, F.","Sosa, S.","Schull, Q.","Boonstra, R.","Saraux, C.","Lejeune, M.","Roth, J.D.","Uhlrich, P.","Zahn, S.","Dobson, F.S.",,,,,,,,,,,,,,,,,,,,,,,,,,
Voillemot et al. (2012),"Voillemot, M.","Hine, K.","Zahn, S.","Criscuolo, F.","Gustafsson, L.","Doligez, B.","Bize, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilbourn et al. (2017),"Wilbourn, R.V.","Froy, H.","McManus, M.C.","Cheynel, L.","Gaillard, J.M.","GilotFromont, E.","Regis, C.","Rey, B.","Pellerin, M.","Lemaître, J.F.","Nussey, D.H.",,,,,,,,,,,,,,,,,,,,,,,,,,
Wong (2017),"Wong, P.B.Y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
