Paper,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Author_31,Author_32,Author_33,Author_34,Author_35,Author_36,Author_37
Horvath et al. (2022b),"Horvath, S.","Haghani, A.","Peng, S.","Hales, E.N.","Zoller, J.A.","Raj, K.","Larison, B.","Robeck, T.R.","Petersen, J.L.","Bellone, R.R.","Finno, C.J.",,,,,,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2022c),"Horvath, S.","Haghani, A.","Zoller, J.A.","Fei, Z.","Bérubé, M.","Robbins, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2022d),"Horvath, S.","Haghani, A.","Zoller, J.A.","Raj, K.","Sinha, I.","Robeck, T.R.","Black, P.","Couzens, A.","Lau, C.","Manoyan, M.","Ruiz, Y.A.","Talbott, A.","Belov, K.","Hogg, C.J.","Sears, K.E.",,,,,,,,,,,,,,,,,,,,,,
Horvath et al. (2022e),"Horvath, S.","Lu, A.T.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Lim, A.R.","Brooke, R.T.","Raj, K.","Serres-Armero, A.","Dreger, D.L.","Hogan, A.N.","Plassais, J.","Ostrander, E.A.",,,,,,,,,,,,,,,,,,,,,,,,
Ito et al. (2018),"Ito, H.","Udono, T.","Hirata, S.","Inoue-Murayama, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasinska et al. (2022),"Jasinska, A.J.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Arneson, A.","Ernst, J.","Kavanagh, K.","Jorgensen, M.J.","Mattison, J.A.","Wojta, K.","Choi, O.W.","DeYoung, J.","Li, X.","Rao, A.W.","Coppola, G.","Freimer, N.B.","Woods, R.P.","Horvath, S.",,,,,,,,,,,,,,,,,,,
Kerepesi et al. (2022),"Kerepesi, C","Meer, M.V.","Ablaeva, J.","Amoroso, V.G.","Lee, S.G.","Zhang, B.","Gerashchenko, M.V.","Trapp, A.","Yim, S.H.","Lu, A.T.","Levine, M.E.","Seluanov, A.","Horvath, S.","Park, T.J.","Gorbunova, V.","Gladyshev, V.N.",,,,,,,,,,,,,,,,,,,,,
Kordowitzki et al. (2021),"Kordowitzki, P.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Raj, K.","Spangler, M.L.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larison et al. (2021b),"Larison, B.","Pinho, G.M.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Finno, C.J.","Farrell, C.","Kaelin, C.B.","Barsh, G.S.","Wooding, B.","Robeck, T.R.","Maddox, D.","Pellegrini, M.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,
Lema\ître et al. (2022),"Lemaître, J.F.","Rey, B.","Gaillard, J.M.","Régis, C.","Gilot-Fromont, E.","Débias, F.","Duhayer, J.","Pardonnet, S.","Pellerin, M.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,
Little et al. (2020),"Little, T.J.","O’Toole, A.N.","Rambaut, A.","Chandra, T.","Marioni, R.","Pedersen, A.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowe et al. (2020),"Lowe, R.","Danson, A.F.","Rakyan, V.K.","Yildizoglu, S.","Saldmann, F.","Viltard, M.","Friedlander, G.","Faulkes, C.G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayne et al. (2021b),"Mayne, B.","Espinoza, T.","Roberts, D.","Butler, G.L.","Brooks, S.","Korbie, D.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayne et al. (2022),"Mayne, B.","Mustin, W.","Baboolal, V.","Casella, F.","Ballorain, K.","Barret, M.","Vanderklift, M.A.","Tucker, A.D.","Korbie, D.","Jarman, S.N.","Berry, O.",,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer et al. (2023),"Meyer, B.S.","Moiron, M.","Caswara, C.","Chow, W.","Fedrigo, O.","Formenti, G.","Haase, B.","Howe, K.","Mountcastle, J.","Uliano-Silva, M.","Wood, J.","Jarvis, E.D.","Liedvogel, M.","Bouwhuis, S.",,,,,,,,,,,,,,,,,,,,,,,
Nilsen et al. (2016),"Nilsen, F.M.","Parrott, B.B.","Bowden, J.A.","Kassim, B.L.","Somerville, S.E.","Bryan, T.A.","Bryan, C.E.","Lange, T.R.","Delaney, J.P.","Brunell, A.M.","Long, S.E.","Guillette, L.J.",,,,,,,,,,,,,,,,,,,,,,,,,
Parrott et al. (2014),"Parrott, B.B.","Bowden, J.A.","Kohno, S.","Cloy-McCoy, J.A.","Hale, M.D.","Bangma, J.T.","Rainwater, T.R.","Wilkinson, P.M.","Kucklick, J.R.","Guillette, L.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Polanowski et al. (2014),"Polanowski, A.","Robbins, J.","Chandler, D.","Jarman, S.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prado et al. (2021),"Prado, N.A.","Brown, J.L.","Zoller, J.A.","Haghani, A.","Yao, M.","Bagryanova, L.R.","Campana, M.G.","Maldonado, J.E.","Raj, K.","Schmitt, D.","Robeck, T.R.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,
Qi et al. (2021),"Qi, H.","Kinoshita, K.","Mori, T.","Matsumoto, K.","Matsui, Y.","Inoue-Murayama, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj et al. (2021),"Raj, K.","Szladovits, B.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Black, P.","Maddox, D.","Robeck, T.R.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robeck et al. (2021a),"Robeck, T.R.","Fei, Z.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Steinman, K.J.","Dirocco, S.","Staggs, L.","Schmitt, T.","Osborn, S.","Montano, G.","Rodriguez, M.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,
Robeck et al. (2021b),"Robeck, T.R.","Fei, Z.","Haghani, A.","Zoller, J.A.","Li, C.Z.","Steinman, K.J.","Dirocco, S.","Staggs, L.","Schmitt, T.","Osborn, S.","Montano, G.","Rodriguez, M.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,
Robeck et al. (2023),"Robeck, T.R.","Haghani, A.","Fei, Z.","Lindemann, D.M.","Russell, J.","Herrick, K.E.S.","Montano, G.","Steinman, K.J.","Katsumata, E.","Zoller, J.A.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,
Schachtschneider et al. (2021),"Schachtschneider, K.M.","Schook, L.B.","Meudt, J.J.","Shanmuganayagam, D.","Zoller, J.A.","Haghani, A.","Li, C.Z.","Zhang, J.","Yang, A.","Raj, K.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,
Soulsbury et al. (2018),"Soulsbury, C.D.","Lipponen, A.","Wood, K.","Mein, C.A.","Hoffman, J.I.","Lebigre, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugrue et al. (2021),"Sugrue, V.J.","Zoller, J.A.","Narayan, P.","Lu, A.T.","Ortega-Recalde, O.J.","Grant, M.J.","Bawden, C.S.","Rudiger, S.R.","Haghani, A.","Bond, D.M.","Hore, R.R.","Garratt, M.","Sears, K.E.","Wang, N.","Yang, X.W.","Snell, R.G.","Hore, T.A.","Horvath, S.",,,,,,,,,,,,,,,,,,,
Thompson et al. (2017),"Thompson, M.J.","von Holdt, B.","Horvath, S.","Pellegrini, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkinson et al. (2021),"Wilkinson, G.S.","Adams, D.M.","Haghani, A.","Lu, A.T.","Zoller, J.A.","Breeze, C.E.","Arnold, B.D.","Ball, H.C.","Carter, G.","Cooper, L.N.","Dechmann, D.K.N.","Devanna, P.","Fasel, N.J.","Galazyuk, A.V.","Günther, L.","Hurme, E.","Jones, G.","Knörnschild, M.","Lattenkamp, E.Z.","Li, C.Z.","Mayer, F.","Reinhardt, J.A.","Medellin, R.A.","Nagy, M.","Pope, B.","Power, M.L.","Ransome, R.D.","Teeling, E.C.","Vernes, S.C.","Zamora-Mejías, D.","Zhang, J.","Faure, P.A.","Gerardo, L. ","Greville, L.J.","Herrera, M.","Flores-Martínez, J.","Horvath, S."
Wright et al. (2018),"Wright, P.G.R.","Mathews, F.","Schofield, H.","Morris, C.","Burrage, J.","Smith, A.","Dempster, E.L.","Hamilton, P.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoller et al. (2022),"Zoller, J.A.","Parasyraki, E.","Lu, A.T.","Haghani, A.","Niehrs, C.","Horvath, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
